JapaneseFname,EglishFname
ABCの再評価.tex,abc_saihyouka.tex
ABCの算定.tex,abc_santei.tex
ABCの評価.tex,abc_hyouka.tex
ABC以外の管理方策の提言.tex,abc_igai.tex
Blimitの設定.tex,blimit_settei.tex
まえがき.tex,maegaki.tex
分布・回遊.tex,bunpu_kaiyu.tex
図.tex,figures.tex
年齢・成長.tex,nenrei_seichou.tex
引用文献.bib,references.bib
成熟・産卵.tex,seijuku_sanran.tex
漁業の概要.tex,gyogyou_gaiyou.tex
漁獲物の年齢組成.tex,gyokakubutsu_nenreisosei.tex
漁獲量の推移.tex,gyokakuryou_suii.tex
被捕食関係.tex,hihoshoku_kankei.tex
要約_管理基準の表.tex,youyaku_tbl.tex
要約.tex,youyaku.tex
責任担当水研等.tex,sekinintantou.tex
資源と漁獲の関係.tex,shigen_gyokaku_kankei.tex
資源の水準・動向.tex,shigen_suijun_doukou.tex
資源評価のまとめ.tex,shigenhyouka_matome.tex
資源評価の方法.tex,shigenhyouka_houhou.tex
資源量と漁獲割合の推移.tex,shigenryou_gyokakuwariai.tex
資源量指標値の推移.tex,shigenryou_shihyouchi.tex
